"query name","prior Vuln for rand prior","Traditional post-vuln for random Prior","Max-based post-vuln for random Prior","Leakage using traditional pvuln for rand prior","Leakage using max-based pvuln for rand prior"
"q4",2.41e-2,3.74e-2,0.41221137455447093,0.6340051236576751,4.096279263563823
"q4",0.2271,0.23350833333333332,0.2433555728482311,4.014633101709849e-2,9.973810669961419e-2
"q4",4.53e-2,5.041176470588235e-2,8.43607416755655e-2,0.15424940770328752,0.8970607286789258
"q4",6.43e-2,0.1124,0.3106231837261866,0.8057513928929789,2.272274868316881
"q4",3.44e-2,3.876e-2,0.13575963443730032,0.17216000582562094,1.9805741151844642
"q4",5.67e-2,7.164e-2,0.1525112290730911,0.33741660215637,1.4274948288324798
"q4",4.99e-2,8.0e-2,0.28117956423741547,0.6809601844374642,2.4943800243587138
"q4",4.14e-2,7.03e-2,0.4166666666666668,0.7638939215732101,3.331191016216331
"q4",7.06e-2,0.1181,0.4308390022675737,0.742268876125977,2.6094087690516967


"query name","prior Vuln for rand prior","Traditional post-vuln for random Prior","Max-based post-vuln for random Prior","Leakage using traditional pvuln for rand prior","Leakage using max-based pvuln for rand prior"
"q5",6.73e-2,6.79e-2,0.6,1.280506963441466e-2,3.1562840907729264
"q5",4.34e-2,5.69e-2,0.9712230215827339,0.3907336098621026,4.484035671432294
"q5",5.35e-2,6.64e-2,0.5,0.31164435005841545,3.2243172982609405
"q5",4.55e-2,4.79e-2,0.6486486486486487,7.415911065012168e-2,3.833498779555597
"q5",6.14e-2,6.65e-2,0.5425531914893618,0.11511568501837262,3.143454024473128
"q5",3.57e-2,4.15e-2,0.6516853932584269,0.21718726220518722,4.190179679681524
"q5",4.28e-2,4.5399999999999996e-2,0.6190476190476191,8.508150088976812e-2,3.8543676885106346
"q5",6.14e-2,7.6e-2,0.9605263157894737,0.3077607629607684,3.967514579615702
"q5",8.69e-2,0.12440000000000001,0.6167494677075941,0.5175584033162024,2.827256483239813
"q5",4.76e-2,5.86e-2,0.9649122807017544,0.29993909111430417,4.3413643156014246
"q5",3.32e-2,4.5700000000000005e-2,1.0,0.46101092371114494,4.912672948202525
"q5",4.92e-2,6.34e-2,0.6200873362445415,0.3658245248001673,3.655741205617948
"q5",4.21e-2,5.59e-2,0.965034965034965,0.40902804977679397,4.518689076482834
"q5",4.54e-2,4.7400000000000005e-2,0.5405405405405406,6.2194761607344294e-2,3.573638621516947
"q5",5.94e-2,9.63e-2,0.9584415584415585,0.6970728670426934,4.012155629226816
"q5",4.95e-2,6.96e-2,0.9220183486238532,0.4916587808817561,4.21929503098448
"q5",5.21e-2,5.48e-2,0.7105263157894737,7.289252068201864e-2,3.7695328059908246
"q5",5.61e-2,7.73e-2,0.7386759581881533,0.4624676433160546,3.718868946828168
"q5",6.12e-2,7.78e-2,0.9378531073446328,0.3462385022935401,3.9377584181207257
"q5",6.21e-2,7.8e-2,0.9352941176470588,0.3288808555291293,3.912754940475622

"query name","prior Vuln for piece-wise random prior","Traditional post-vuln for piece-wise rand Prior","Max-based post-vuln for piece-wise rand Prior","Leakage using trad. pvuln for p-wise rand prior","Leakage using max-based pvuln for p-wise prior"
"q5",3.86e-2,5.82e-2,0.8466522678185745,0.5924183056402035,4.455096803136341
"q5",0.1064,0.11555,0.9581151832460734,0.11901910896644138,3.170700954296554
"q5",4.92e-2,5.126666666666667e-2,0.5,5.936278190143056e-2,3.3451978742102098
"q5",4.96e-2,5.0366666666666664e-2,0.5,2.2129134056797607e-2,3.3335160691625743
"q5",4.94e-2,5.21e-2,0.5,7.67723306938306e-2,3.3393451479647718
"q5",1.9563636363636363e-2,2.4775401069518716e-2,0.5,0.34073385811367024,4.675681635630123
"q5",4.55e-2,4.8799999999999996e-2,0.5,0.10101460247682763,3.457989644463391
"q5",3.36e-2,4.7299999999999995e-2,0.8303030303030303,0.49337895056063474,4.6271048254854
"q5",2.71e-2,2.9525e-2,0.5,0.12364420804328577,4.205563338195578
"q5",5.4220000000000004e-2,5.9890000000000006e-2,0.5,0.1434900191406752,3.2050310765991
"q5",5.226666666666666e-2,5.8666666666666666e-2,0.917093142272262,0.16664986940945156,4.1331052062446165
"q5",2.41e-2,2.6233333333333334e-2,0.5369127516778522,0.12236798855636877,4.477582617744688
"q5",0.2271,0.23573333333333332,0.5,5.382806796338757e-2,1.1386003888425615
"q5",4.53e-2,5.5349999999999996e-2,0.6711185308848081,0.2890722667353171,3.888984637893358
"q5",6.43e-2,7.132e-2,0.5,0.14948796540968526,2.9590374522215024
"q5",3.44e-2,3.5236363636363635e-2,0.5,3.465648207568581e-2,3.8614476248473517
"q5",5.67e-2,5.995e-2,0.5,8.041101847199474e-2,3.1405074546072203
"q5",4.99e-2,5.026666666666667e-2,0.5,1.0562207210247523e-2,3.3248163742121895
"q5",4.14e-2,4.783333333333333e-2,0.5,0.20838556334256877,3.5942254220501244
"q5",7.06e-2,7.075e-2,0.5,3.061964448064233e-3,2.8241880062782694


